gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group B,bachelor's degree,free/reduced,1,75,85,82
female,group D,bachelor's degree,standard,1,78,82,79
female,group D,some high school,standard,1,51,63,61
female,group C,some college,standard,1,55,69,65
female,group C,bachelor's degree,standard,0,79,92,89
male,group B,associate's degree,standard,0,91,89,92
female,group C,some college,standard,0,88,93,93
male,group D,high school,free/reduced,1,63,57,56
male,group E,some college,standard,1,83,80,73
female,group B,high school,standard,1,87,95,86
male,group B,some high school,standard,1,72,68,67
male,group D,some college,standard,0,65,77,74
male,group D,master's degree,standard,1,82,82,74
female,group A,bachelor's degree,standard,1,51,49,51
male,group D,master's degree,standard,1,89,84,82
male,group C,some high school,free/reduced,0,53,37,40
male,group E,some college,free/reduced,0,87,74,70
female,group C,some college,standard,0,75,81,84
male,group D,bachelor's degree,free/reduced,0,74,79,75
male,group C,bachelor's degree,standard,1,58,55,48
male,group B,some high school,standard,0,51,54,41
male,group E,high school,standard,1,70,55,56
female,group C,associate's degree,standard,1,59,66,67
male,group D,some college,standard,0,71,61,69
female,group D,some high school,standard,1,76,72,71
female,group C,some college,free/reduced,1,59,62,64
female,group E,some college,free/reduced,0,42,55,54
male,group A,high school,standard,1,57,43,47
male,group D,some college,standard,1,88,73,78
female,group C,some college,free/reduced,1,22,39,33
male,group B,some high school,standard,1,88,84,75
male,group C,associate's degree,free/reduced,1,73,68,66
female,group D,bachelor's degree,standard,0,68,75,81
male,group E,associate's degree,free/reduced,0,100,100,93
male,group A,some high school,standard,0,62,67,69
male,group A,bachelor's degree,standard,1,77,67,68
female,group B,associate's degree,standard,0,59,70,66
male,group D,bachelor's degree,standard,1,54,49,47
male,group D,some high school,standard,1,62,67,61
female,group C,some college,standard,0,70,89,88
female,group E,high school,free/reduced,0,66,74,78
male,group B,some college,free/reduced,1,60,60,60
female,group B,associate's degree,standard,0,61,86,87
male,group D,associate's degree,free/reduced,1,66,62,64
male,group B,associate's degree,free/reduced,0,82,78,74
female,group E,some college,free/reduced,0,75,88,85
male,group B,master's degree,free/reduced,1,49,53,52
male,group C,high school,standard,1,52,53,49
female,group E,master's degree,standard,1,81,92,91
female,group C,bachelor's degree,standard,0,96,100,100
male,group C,high school,free/reduced,0,53,51,51
female,group B,master's degree,free/reduced,0,58,76,78
female,group B,high school,standard,0,68,83,78
female,group C,some college,free/reduced,0,67,75,70
male,group A,high school,standard,0,72,73,74
male,group E,some high school,standard,1,94,88,78
female,group D,some college,standard,1,79,86,81
female,group C,associate's degree,standard,1,63,67,70
female,group C,bachelor's degree,free/reduced,0,43,51,54
female,group C,master's degree,standard,0,81,91,87
female,group B,high school,free/reduced,0,46,54,58
female,group C,associate's degree,standard,0,71,77,77
female,group B,master's degree,free/reduced,0,52,70,62
female,group D,some high school,standard,0,97,100,100
male,group C,master's degree,free/reduced,0,62,68,75
female,group C,some college,free/reduced,1,46,64,66
female,group E,high school,standard,1,50,50,47
female,group D,associate's degree,standard,1,65,69,70
male,group C,some high school,free/reduced,0,45,52,49
male,group C,associate's degree,free/reduced,0,65,67,65
male,group E,high school,standard,1,80,76,65
male,group D,some high school,standard,0,62,66,68
male,group B,some high school,free/reduced,1,48,52,45
female,group C,bachelor's degree,standard,1,77,88,87
female,group E,associate's degree,standard,1,66,65,69
male,group D,some college,standard,0,76,83,79
female,group B,some high school,standard,1,62,64,66
male,group D,some college,standard,0,77,62,62
female,group C,master's degree,standard,0,69,84,85
male,group D,associate's degree,standard,1,61,55,52
male,group C,some high school,free/reduced,0,59,69,65
male,group E,high school,free/reduced,1,55,56,51
female,group B,some college,free/reduced,1,45,53,55
female,group B,bachelor's degree,free/reduced,1,78,79,76
female,group C,associate's degree,standard,0,67,84,86
female,group D,some college,free/reduced,1,65,81,77
male,group C,associate's degree,standard,1,69,77,69
female,group B,associate's degree,standard,1,57,69,68
male,group C,some college,standard,1,59,41,42
male,group D,some high school,standard,0,74,71,78
male,group E,bachelor's degree,standard,1,82,62,62
male,group E,high school,standard,0,81,80,76
female,group B,some college,free/reduced,1,74,81,76
female,group B,some college,free/reduced,1,58,61,66
male,group D,some high school,free/reduced,0,80,79,79
male,group C,some college,free/reduced,1,35,28,27
female,group C,high school,free/reduced,1,42,62,60
male,group C,associate's degree,free/reduced,0,60,51,56
male,group E,high school,standard,0,87,91,81
male,group B,some high school,standard,0,84,83,75
female,group E,associate's degree,free/reduced,0,83,86,88
female,group C,high school,free/reduced,1,34,42,39
male,group B,high school,free/reduced,1,66,77,70
male,group B,some high school,standard,0,61,56,56
female,group D,high school,standard,0,56,68,74
male,group B,associate's degree,standard,1,87,85,73
female,group C,some high school,free/reduced,1,55,65,62
male,group D,some high school,standard,1,86,80,75
female,group B,associate's degree,standard,0,52,66,73
female,group E,master's degree,free/reduced,1,45,56,54
female,group C,some college,standard,1,72,72,71
male,group D,high school,standard,1,57,50,54
male,group A,some high school,free/reduced,1,68,72,64
female,group C,some college,standard,0,88,95,94
male,group D,some college,standard,1,76,64,66
male,group C,associate's degree,standard,1,46,43,42
female,group B,bachelor's degree,standard,1,67,86,83
male,group E,some high school,standard,1,92,87,78
male,group C,bachelor's degree,standard,0,83,82,84
male,group D,associate's degree,standard,1,80,75,77
male,group D,bachelor's degree,free/reduced,1,63,66,67
female,group D,some high school,standard,0,64,60,74
male,group B,some college,standard,1,54,52,51
male,group C,associate's degree,standard,1,84,80,80
male,group D,high school,free/reduced,0,73,68,66
female,group E,bachelor's degree,standard,1,80,83,83
female,group D,high school,standard,1,56,52,55
male,group E,some college,standard,1,59,51,43
male,group D,some high school,standard,1,75,74,69
male,group C,associate's degree,standard,1,85,76,71
male,group E,associate's degree,standard,1,89,76,74
female,group B,high school,standard,0,58,70,68
female,group B,high school,standard,1,65,64,62
male,group C,high school,standard,1,68,60,53
male,group A,some high school,standard,0,47,49,49
female,group D,some college,free/reduced,1,71,83,83
female,group B,some high school,standard,0,60,70,70
male,group D,master's degree,standard,1,80,80,72
male,group D,high school,standard,1,54,52,52
female,group E,some college,standard,1,62,73,70
female,group C,associate's degree,free/reduced,1,64,73,68
male,group C,associate's degree,standard,0,78,77,77
female,group B,some college,standard,1,70,75,78
female,group C,master's degree,free/reduced,0,65,81,81
female,group C,some high school,free/reduced,0,64,79,77
male,group C,some college,standard,0,79,79,78
female,group C,some high school,free/reduced,1,44,50,51
female,group E,high school,standard,1,99,93,90
male,group D,high school,standard,1,76,73,68
male,group D,some high school,free/reduced,1,59,42,41
female,group C,bachelor's degree,standard,1,63,75,81
female,group D,high school,standard,1,69,72,77
female,group D,associate's degree,standard,0,88,92,95
female,group E,some college,free/reduced,1,71,76,70
male,group C,bachelor's degree,standard,1,69,63,61
male,group C,some college,standard,1,58,49,42
female,group D,associate's degree,free/reduced,1,47,53,58
female,group D,some college,standard,1,65,70,71
male,group B,some college,standard,0,88,85,76
male,group C,bachelor's degree,standard,1,83,78,73
female,group C,some high school,standard,0,85,92,93
female,group E,high school,standard,0,59,63,75
female,group C,some high school,free/reduced,1,65,86,80
male,group B,bachelor's degree,free/reduced,1,73,56,57
male,group D,high school,standard,1,53,52,42
male,group D,high school,standard,1,45,48,46
female,group D,bachelor's degree,free/reduced,1,73,79,84
female,group D,some college,free/reduced,0,70,78,78
female,group B,some high school,standard,1,37,46,46
male,group B,associate's degree,standard,0,81,82,82
male,group E,associate's degree,standard,0,97,82,88
female,group B,some high school,standard,1,67,89,82
male,group B,bachelor's degree,free/reduced,1,88,75,76
male,group E,some high school,standard,0,77,76,77
male,group C,associate's degree,standard,1,76,70,68
male,group D,some high school,standard,1,86,73,70
male,group C,some high school,standard,0,63,60,57
female,group E,bachelor's degree,standard,1,65,73,75
male,group D,high school,free/reduced,0,78,77,80
male,group B,associate's degree,free/reduced,1,67,62,60
male,group A,some high school,standard,0,46,41,43
male,group E,associate's degree,standard,0,71,74,68
male,group C,high school,free/reduced,0,40,46,50
male,group D,associate's degree,free/reduced,1,90,87,75
male,group A,some college,free/reduced,0,81,78,81
male,group D,some high school,free/reduced,1,56,54,52
female,group C,associate's degree,standard,0,67,84,81
male,group B,associate's degree,standard,1,80,76,64
female,group C,associate's degree,standard,0,74,75,83
male,group A,some college,standard,1,69,67,69
male,group E,some college,standard,0,99,87,81
male,group C,some high school,standard,1,51,52,44
female,group B,associate's degree,free/reduced,1,53,71,67
female,group D,high school,free/reduced,1,49,57,52
female,group B,associate's degree,standard,1,73,76,80
male,group B,bachelor's degree,standard,1,66,60,57
male,group D,bachelor's degree,standard,0,67,61,68
female,group C,associate's degree,free/reduced,0,68,67,69
female,group C,bachelor's degree,standard,0,59,64,75
male,group C,high school,standard,1,71,66,65
female,group D,master's degree,standard,0,77,82,91
male,group C,associate's degree,standard,1,83,72,78
male,group B,bachelor's degree,standard,1,63,71,69
female,group D,associate's degree,free/reduced,1,56,65,63
female,group C,high school,free/reduced,0,67,79,84
female,group E,high school,standard,1,75,86,79
female,group C,some college,standard,1,71,81,80
female,group C,some high school,free/reduced,1,43,53,53
female,group C,high school,free/reduced,1,41,46,43
female,group C,some college,standard,1,82,90,94
male,group C,some college,standard,1,61,61,62
male,group A,some college,free/reduced,1,28,23,19
male,group C,associate's degree,standard,0,82,75,77
female,group B,some high school,standard,1,41,55,51
male,group C,high school,standard,1,71,60,61
male,group C,associate's degree,standard,1,47,37,35
male,group E,associate's degree,standard,0,62,56,53
male,group B,associate's degree,standard,1,90,78,81
female,group C,bachelor's degree,standard,1,83,93,95
female,group B,some college,free/reduced,1,61,68,66
male,group D,some high school,standard,0,76,70,69
male,group C,associate's degree,standard,1,49,51,43
female,group B,some high school,free/reduced,1,24,38,27
female,group D,some high school,free/reduced,0,35,55,60
male,group C,high school,free/reduced,1,58,61,52
female,group C,high school,standard,1,61,73,63
female,group B,high school,standard,0,69,76,74
male,group D,associate's degree,standard,0,67,72,67
male,group D,some college,standard,1,79,73,67
female,group C,high school,standard,1,72,80,75
male,group B,some college,standard,1,62,61,57
female,group C,bachelor's degree,standard,0,77,94,95
male,group D,high school,free/reduced,1,75,74,66
male,group E,associate's degree,standard,1,87,74,76
female,group B,bachelor's degree,standard,1,52,65,69
male,group E,some college,standard,1,66,57,52
female,group C,some college,standard,0,63,78,80
female,group C,associate's degree,standard,1,46,58,57
female,group C,some college,standard,1,59,71,70
female,group B,bachelor's degree,standard,1,61,72,70
male,group A,associate's degree,standard,1,63,61,61
female,group C,some college,free/reduced,0,42,66,69
male,group D,some college,free/reduced,1,59,62,61
female,group D,some college,standard,1,80,90,89
female,group B,high school,standard,1,58,62,59
male,group B,some high school,standard,0,85,84,78
female,group C,some college,standard,1,52,58,58
female,group D,some high school,free/reduced,1,27,34,32
male,group C,some college,standard,1,59,60,58
male,group A,bachelor's degree,free/reduced,0,49,58,60
male,group C,high school,standard,0,69,58,53
male,group C,bachelor's degree,free/reduced,1,61,66,61
female,group A,some high school,free/reduced,1,44,64,58
female,group D,some high school,standard,1,73,84,85
male,group E,some college,standard,1,84,77,71
female,group C,some college,free/reduced,0,45,73,70
male,group D,some high school,standard,1,74,74,72
female,group D,some college,standard,0,82,97,96
female,group D,bachelor's degree,standard,1,59,70,73
male,group E,associate's degree,free/reduced,1,46,43,41
female,group D,some high school,standard,1,80,90,82
female,group D,master's degree,free/reduced,0,85,95,100
female,group A,some high school,standard,1,71,83,77
male,group A,bachelor's degree,standard,1,66,64,62
female,group B,associate's degree,standard,1,80,86,83
male,group C,associate's degree,standard,0,87,100,95
male,group C,master's degree,free/reduced,1,79,81,71
female,group E,some high school,free/reduced,1,38,49,45
female,group A,some high school,free/reduced,1,38,43,43
female,group E,some college,standard,1,67,76,75
female,group E,bachelor's degree,standard,1,64,73,70
female,group C,associate's degree,free/reduced,1,57,78,67
female,group D,high school,standard,1,62,64,64
male,group D,master's degree,standard,1,73,70,75
male,group E,some high school,free/reduced,0,73,67,59
female,group D,some college,standard,1,77,68,77
male,group E,some college,standard,1,76,67,67
male,group C,associate's degree,standard,0,57,54,56
female,group C,some high school,standard,0,65,74,77
male,group A,high school,free/reduced,1,48,45,41
female,group B,high school,free/reduced,1,50,67,63
female,group C,associate's degree,standard,1,85,89,95
male,group B,some high school,standard,1,74,63,57
male,group D,some high school,standard,1,60,59,54
female,group C,some high school,standard,0,59,54,67
male,group A,some college,standard,1,53,43,43
female,group A,some college,free/reduced,1,49,65,55
female,group D,high school,standard,0,88,99,100
female,group C,high school,standard,1,54,59,62
female,group C,some high school,standard,1,63,73,68
male,group B,associate's degree,standard,0,65,65,63
female,group B,associate's degree,standard,1,82,80,77
female,group D,high school,free/reduced,0,52,57,56
male,group D,associate's degree,standard,0,87,84,85
female,group D,master's degree,standard,0,70,71,74
male,group E,some college,standard,0,84,83,78
male,group D,associate's degree,standard,1,71,66,60
male,group B,some high school,standard,0,63,67,67
female,group C,bachelor's degree,free/reduced,0,51,72,79
male,group E,high school,standard,1,84,73,69
male,group C,bachelor's degree,standard,0,71,74,68
male,group C,associate's degree,standard,1,74,73,67
male,group D,some college,standard,1,68,59,62
male,group E,high school,free/reduced,0,57,56,54
female,group C,associate's degree,free/reduced,0,82,93,93
female,group D,high school,standard,0,57,58,64
female,group D,master's degree,free/reduced,0,47,58,67
female,group A,some high school,standard,0,59,85,80
male,group B,some college,free/reduced,1,41,39,34
female,group C,some college,free/reduced,1,62,67,62
male,group C,bachelor's degree,standard,1,86,83,86
male,group C,some high school,free/reduced,1,69,71,65
male,group A,some high school,free/reduced,1,65,59,53
male,group C,some high school,free/reduced,1,68,63,54
male,group C,associate's degree,free/reduced,1,64,66,59
female,group C,high school,standard,1,61,72,70
male,group C,high school,standard,1,61,56,55
female,group A,some high school,free/reduced,1,47,59,50
male,group C,some high school,standard,1,73,66,66
male,group C,some college,free/reduced,0,50,48,53
male,group D,associate's degree,standard,1,75,68,64
male,group D,associate's degree,free/reduced,1,75,66,73
male,group C,high school,standard,1,70,56,51
male,group D,some high school,standard,0,89,88,82
female,group C,some college,standard,0,67,81,79
female,group D,high school,standard,1,78,81,80
female,group A,some high school,free/reduced,1,59,73,69
female,group B,associate's degree,standard,1,73,83,76
male,group A,some high school,free/reduced,1,79,82,73
female,group C,some high school,standard,0,67,74,77
male,group D,some college,free/reduced,1,69,66,60
male,group C,high school,standard,0,86,81,80
male,group B,high school,standard,1,47,46,42
male,group B,associate's degree,standard,1,81,73,72
female,group C,some college,free/reduced,0,64,85,85
female,group E,some college,standard,1,100,92,97
female,group C,associate's degree,free/reduced,1,65,77,74
male,group C,some college,free/reduced,1,65,58,49
female,group C,associate's degree,free/reduced,1,53,61,62
male,group C,bachelor's degree,free/reduced,1,37,56,47
female,group D,bachelor's degree,standard,1,79,89,89
male,group D,associate's degree,free/reduced,1,53,54,48
female,group E,bachelor's degree,standard,1,100,100,100
male,group B,high school,standard,0,72,65,68
male,group C,bachelor's degree,free/reduced,1,53,58,55
male,group B,some college,free/reduced,1,54,54,45
female,group E,some college,standard,1,71,70,76
female,group C,some college,free/reduced,1,77,90,91
male,group A,bachelor's degree,standard,0,75,58,62
female,group C,some college,standard,1,84,87,91
female,group D,associate's degree,free/reduced,1,26,31,38
male,group A,high school,free/reduced,0,72,67,65
female,group A,high school,free/reduced,0,77,88,85
male,group C,some college,standard,1,91,74,76
female,group C,associate's degree,standard,0,83,85,90
female,group C,high school,standard,1,63,69,74
female,group C,associate's degree,standard,0,68,86,84
female,group D,some high school,standard,1,59,67,61
female,group B,associate's degree,standard,0,90,90,91
female,group D,bachelor's degree,standard,0,71,76,83
male,group E,bachelor's degree,standard,0,76,62,66
male,group D,associate's degree,standard,1,80,68,72
female,group D,master's degree,standard,1,55,64,70
male,group E,associate's degree,standard,1,76,71,67
male,group B,high school,standard,0,73,71,68
female,group D,associate's degree,free/reduced,1,52,59,56
male,group C,some college,free/reduced,1,68,68,61
male,group A,high school,standard,1,59,52,46
female,group B,associate's degree,standard,1,49,52,54
male,group C,high school,standard,1,70,74,71
male,group D,some college,free/reduced,1,61,47,56
female,group C,associate's degree,free/reduced,1,60,75,74
male,group B,some high school,standard,0,64,53,57
male,group A,associate's degree,free/reduced,0,79,82,82
female,group A,associate's degree,free/reduced,1,65,85,76
female,group C,associate's degree,standard,1,64,64,70
female,group C,some college,standard,1,83,83,90
female,group C,bachelor's degree,standard,1,81,88,90
female,group B,high school,standard,1,54,64,68
male,group D,high school,standard,0,68,64,66
female,group C,some college,standard,1,54,48,52
female,group D,some college,free/reduced,0,59,78,76
female,group B,some high school,standard,1,66,69,68
male,group E,some college,standard,1,76,71,72
female,group D,master's degree,standard,1,74,79,82
female,group B,associate's degree,standard,0,94,87,92
male,group C,some college,free/reduced,1,63,61,54
female,group E,associate's degree,standard,0,95,89,92
female,group D,master's degree,free/reduced,1,40,59,54
female,group B,some high school,standard,1,82,82,80
male,group A,high school,standard,1,68,70,66
male,group B,bachelor's degree,free/reduced,1,55,59,54
male,group C,master's degree,standard,1,79,78,77
female,group C,bachelor's degree,standard,1,86,92,87
male,group D,some college,standard,1,76,71,73
male,group A,some high school,standard,1,64,50,43
male,group D,some high school,free/reduced,1,62,49,52
female,group B,some high school,standard,0,54,61,62
female,group B,master's degree,free/reduced,0,77,97,94
female,group C,some high school,standard,0,76,87,85
female,group D,some college,standard,1,74,89,84
female,group E,some college,standard,0,66,74,73
female,group D,some high school,standard,0,66,78,78
female,group B,high school,free/reduced,0,67,78,79
male,group D,some college,standard,1,71,49,52
female,group C,associate's degree,standard,1,91,86,84
male,group D,bachelor's degree,standard,1,69,58,57
male,group C,master's degree,free/reduced,1,54,59,50
male,group C,high school,standard,0,53,52,49
male,group E,some college,standard,1,68,60,59
male,group C,some high school,free/reduced,0,56,61,60
female,group C,high school,free/reduced,1,36,53,43
female,group D,bachelor's degree,free/reduced,1,29,41,47
female,group C,associate's degree,standard,1,62,74,70
female,group C,associate's degree,standard,0,68,67,73
female,group C,some high school,standard,1,47,54,53
male,group E,associate's degree,standard,0,62,61,58
female,group E,associate's degree,standard,0,79,88,94
male,group B,high school,standard,0,73,69,68
female,group C,bachelor's degree,free/reduced,0,66,83,83
male,group C,associate's degree,standard,0,51,60,58
female,group D,high school,standard,1,51,66,62
male,group E,bachelor's degree,standard,0,85,66,71
male,group A,associate's degree,standard,0,97,92,86
male,group C,high school,standard,0,75,69,68
male,group D,associate's degree,free/reduced,0,79,82,80
female,group C,associate's degree,standard,1,81,77,79
female,group D,associate's degree,standard,1,82,95,89
female,group D,master's degree,standard,1,64,63,66
male,group E,some high school,free/reduced,0,78,83,80
female,group A,some high school,standard,0,92,100,97
male,group C,high school,standard,0,72,67,64
female,group C,high school,free/reduced,1,62,67,64
male,group C,master's degree,standard,1,79,72,69
male,group C,some high school,free/reduced,1,79,76,65
male,group B,bachelor's degree,free/reduced,0,87,90,88
female,group B,associate's degree,standard,1,40,48,50
male,group D,some college,free/reduced,1,77,62,64
male,group E,associate's degree,standard,1,53,45,40
female,group C,some college,free/reduced,1,32,39,33
female,group C,associate's degree,standard,0,55,72,79
male,group C,master's degree,free/reduced,1,61,67,66
female,group B,associate's degree,free/reduced,1,53,70,70
male,group D,some high school,standard,1,73,66,62
female,group D,some college,standard,0,74,75,79
female,group C,some college,standard,1,63,74,74
male,group C,bachelor's degree,standard,0,96,90,92
female,group D,some college,free/reduced,0,63,80,80
male,group B,bachelor's degree,free/reduced,1,48,51,46
male,group B,associate's degree,standard,1,48,43,45
female,group E,bachelor's degree,free/reduced,0,92,100,100
female,group D,master's degree,free/reduced,0,61,71,78
male,group B,high school,free/reduced,1,63,48,47
male,group D,bachelor's degree,free/reduced,1,68,68,67
male,group B,some college,standard,0,71,75,70
male,group A,bachelor's degree,standard,1,91,96,92
female,group C,some college,standard,1,53,62,56
female,group C,high school,free/reduced,0,50,66,64
female,group E,high school,standard,1,74,81,71
male,group A,associate's degree,free/reduced,0,40,55,53
male,group A,some college,standard,0,61,51,52
female,group B,high school,standard,1,81,91,89
female,group B,some college,free/reduced,0,48,56,58
female,group D,master's degree,standard,1,53,61,68
female,group D,some high school,standard,1,81,97,96
female,group E,some high school,standard,1,77,79,80
female,group D,bachelor's degree,free/reduced,1,63,73,78
female,group D,associate's degree,standard,0,73,75,80
female,group D,some college,standard,1,69,77,77
female,group C,associate's degree,standard,1,65,76,76
female,group A,high school,standard,1,55,73,73
female,group C,bachelor's degree,free/reduced,1,44,63,62
female,group C,some college,standard,1,54,64,65
female,group A,some high school,standard,1,48,66,65
male,group C,some college,free/reduced,1,58,57,54
male,group A,some high school,standard,1,71,62,50
male,group E,bachelor's degree,standard,1,68,68,64
female,group E,high school,standard,1,74,76,73
female,group C,bachelor's degree,standard,0,92,100,99
female,group C,bachelor's degree,standard,0,56,79,72
male,group B,high school,free/reduced,1,30,24,15
male,group A,some high school,standard,1,53,54,48
female,group D,high school,standard,1,69,77,73
female,group D,some high school,standard,1,65,82,81
female,group D,master's degree,standard,1,54,60,63
female,group C,high school,standard,1,29,29,30
female,group E,some college,standard,1,76,78,80
male,group D,high school,free/reduced,1,60,57,51
male,group D,master's degree,free/reduced,0,84,89,90
male,group C,some high school,standard,1,75,72,62
female,group C,associate's degree,standard,1,85,84,82
female,group C,master's degree,free/reduced,1,40,58,54
female,group E,some college,standard,1,61,64,62
female,group B,associate's degree,standard,1,58,63,65
male,group D,some college,free/reduced,0,69,60,63
female,group C,some college,standard,1,58,59,66
male,group C,bachelor's degree,standard,0,94,90,91
female,group C,associate's degree,standard,1,65,77,74
female,group A,associate's degree,standard,1,82,93,93
female,group C,high school,standard,1,60,68,72
female,group E,bachelor's degree,standard,1,37,45,38
male,group D,bachelor's degree,standard,1,88,78,83
male,group D,master's degree,standard,1,95,81,84
male,group C,associate's degree,free/reduced,0,65,73,68
female,group C,high school,free/reduced,1,35,61,54
male,group B,bachelor's degree,free/reduced,1,62,63,56
male,group C,high school,free/reduced,0,58,51,52
male,group A,some college,standard,0,100,96,86
female,group E,bachelor's degree,free/reduced,1,61,58,62
male,group D,some college,standard,0,100,97,99
male,group B,associate's degree,free/reduced,0,69,70,63
male,group D,associate's degree,standard,1,61,48,46
male,group D,some college,free/reduced,1,49,57,46
female,group C,some high school,standard,0,44,51,55
male,group D,some college,standard,1,67,64,70
male,group B,high school,standard,1,79,60,65
female,group B,bachelor's degree,standard,0,66,74,81
female,group C,high school,standard,1,75,88,85
male,group D,some high school,standard,1,84,84,80
male,group A,high school,standard,1,71,74,64
female,group B,high school,free/reduced,0,67,80,81
female,group D,some high school,standard,0,80,92,88
male,group E,some college,standard,1,86,76,74
female,group D,associate's degree,standard,1,76,74,73
male,group D,high school,standard,1,41,52,51
female,group D,associate's degree,free/reduced,0,74,88,90
